sensor_type,date,recorded
ms_p2:sensormultilevel::batterylevel:, 2/8/2016 12:57:18 AM,0
ms_p2:sensormultilevel::batterylevel:, 2/8/2016 1:00:12 AM,100
ms_p2:sensormultilevel::batterylevel:, 2/10/2016 1:09:13 AM,100
ms_p2:sensormultilevel::batterylevel:, 2/11/2016 3:24:47 PM,96
ms_p2:sensormultilevel::batterylevel:, 2/11/2016 3:28:53 PM,94
ms_p2:sensormultilevel::batterylevel:, 2/11/2016 3:32:53 PM,96
ms_p2:sensormultilevel::batterylevel:, 2/11/2016 3:36:53 PM,97
ms_p2:sensormultilevel::batterylevel:, 2/11/2016 3:56:53 PM,98
ms_p2:sensormultilevel::batterylevel:, 2/13/2016 10:44:58 AM,93
ms_p2:sensormultilevel::batterylevel:, 2/13/2016 11:08:58 AM,92
ms_p2:sensormultilevel::batterylevel:, 2/13/2016 11:12:58 AM,93
ms_p2:sensormultilevel::batterylevel:, 2/13/2016 11:28:58 AM,92
ms_p2:sensormultilevel::batterylevel:, 2/13/2016 4:32:58 PM,91
ms_p2:sensormultilevel::batterylevel:, 2/13/2016 4:36:58 PM,92
ms_p2:sensormultilevel::batterylevel:, 2/13/2016 5:04:58 PM,91
ms_p2:sensormultilevel::batterylevel:, 2/13/2016 5:08:58 PM,92
ms_p2:sensormultilevel::batterylevel:, 2/13/2016 5:16:58 PM,91
ms_p2:sensormultilevel::batterylevel:, 2/13/2016 5:20:58 PM,92
ms_p2:sensormultilevel::batterylevel:, 2/13/2016 5:40:58 PM,91
ms_p2:sensormultilevel::batterylevel:, 2/13/2016 5:44:58 PM,92
ms_p2:sensormultilevel::batterylevel:, 2/13/2016 5:48:58 PM,91
ms_p2:sensormultilevel::batterylevel:, 2/13/2016 5:56:58 PM,92
ms_p2:sensormultilevel::batterylevel:, 2/13/2016 6:04:58 PM,91
ms_p2:sensormultilevel::batterylevel:, 2/13/2016 6:12:58 PM,92
ms_p2:sensormultilevel::batterylevel:, 2/13/2016 6:16:58 PM,91
ms_p2:sensormultilevel::batterylevel:, 2/13/2016 6:28:58 PM,92
ms_p2:sensormultilevel::batterylevel:, 2/13/2016 6:32:58 PM,91
ms_p2:sensormultilevel::batterylevel:, 2/13/2016 6:36:58 PM,92
ms_p2:sensormultilevel::batterylevel:, 2/13/2016 6:44:58 PM,91
ms_p2:sensormultilevel::batterylevel:, 2/13/2016 6:52:58 PM,92
ms_p2:sensormultilevel::batterylevel:, 2/13/2016 7:12:58 PM,91
ms_p2:sensormultilevel::batterylevel:, 2/13/2016 7:20:58 PM,92
ms_p2:sensormultilevel::batterylevel:, 2/13/2016 7:24:58 PM,91
ms_p2:sensormultilevel::batterylevel:, 2/13/2016 7:28:58 PM,92
ms_p2:sensormultilevel::batterylevel:, 2/13/2016 7:32:58 PM,91
ms_p2:sensormultilevel::batterylevel:, 2/13/2016 7:40:58 PM,92
ms_p2:sensormultilevel::batterylevel:, 2/13/2016 8:16:58 PM,91
ms_p2:sensormultilevel::batterylevel:, 2/13/2016 8:28:58 PM,92
ms_p2:sensormultilevel::batterylevel:, 2/13/2016 8:40:57 PM,91
ms_p2:sensormultilevel::batterylevel:, 2/13/2016 8:48:58 PM,92
ms_p2:sensormultilevel::batterylevel:, 2/13/2016 8:52:58 PM,91
ms_p2:sensormultilevel::batterylevel:, 2/13/2016 8:56:57 PM,92
ms_p2:sensormultilevel::batterylevel:, 2/13/2016 9:00:57 PM,91
ms_p2:sensormultilevel::batterylevel:, 2/13/2016 9:04:57 PM,92
ms_p2:sensormultilevel::batterylevel:, 2/13/2016 9:08:57 PM,91
ms_p2:sensormultilevel::batterylevel:, 2/13/2016 9:20:57 PM,92
ms_p2:sensormultilevel::batterylevel:, 2/13/2016 9:24:57 PM,91
ms_p2:sensormultilevel::batterylevel:, 2/13/2016 9:28:57 PM,92
ms_p2:sensormultilevel::batterylevel:, 2/13/2016 9:32:57 PM,91
ms_p2:sensormultilevel::batterylevel:, 2/13/2016 9:36:57 PM,92
ms_p2:sensormultilevel::batterylevel:, 2/13/2016 9:40:57 PM,91
ms_p2:sensormultilevel::batterylevel:, 2/13/2016 10:00:57 PM,92
ms_p2:sensormultilevel::batterylevel:, 2/13/2016 10:04:57 PM,91
ms_p2:sensormultilevel::batterylevel:, 2/13/2016 10:24:57 PM,92
ms_p2:sensormultilevel::batterylevel:, 2/13/2016 10:28:57 PM,91
ms_p2:sensormultilevel::batterylevel:, 2/14/2016 6:12:58 AM,90
ms_p2:sensormultilevel::batterylevel:, 2/14/2016 6:17:00 AM,91
ms_p2:sensormultilevel::batterylevel:, 2/14/2016 7:12:59 AM,90
ms_p2:sensormultilevel::batterylevel:, 2/14/2016 7:16:57 AM,91
ms_p2:sensormultilevel::batterylevel:, 2/14/2016 7:32:57 AM,90
ms_p2:sensormultilevel::batterylevel:, 2/14/2016 7:36:57 AM,91
ms_p2:sensormultilevel::batterylevel:, 2/14/2016 7:52:58 AM,90
ms_p2:sensormultilevel::batterylevel:, 2/14/2016 8:01:00 AM,91
ms_p2:sensormultilevel::batterylevel:, 2/14/2016 8:24:58 AM,90
ms_p2:sensormultilevel::batterylevel:, 2/14/2016 8:28:57 AM,91
ms_p2:sensormultilevel::batterylevel:, 2/14/2016 8:53:00 AM,90
ms_p2:sensormultilevel::batterylevel:, 2/14/2016 8:57:00 AM,91
ms_p2:sensormultilevel::batterylevel:, 2/14/2016 9:21:02 AM,90
ms_p2:sensormultilevel::batterylevel:, 2/14/2016 9:25:00 AM,91
ms_p2:sensormultilevel::batterylevel:, 2/14/2016 9:33:03 AM,90
ms_p2:sensormultilevel::batterylevel:, 2/14/2016 9:37:03 AM,91
ms_p2:sensormultilevel::batterylevel:, 2/14/2016 10:09:01 AM,90
ms_p2:sensormultilevel::batterylevel:, 2/14/2016 10:13:00 AM,91
ms_p2:sensormultilevel::batterylevel:, 2/14/2016 10:17:00 AM,90
ms_p2:sensormultilevel::batterylevel:, 2/14/2016 10:21:00 AM,91
ms_p2:sensormultilevel::batterylevel:, 2/14/2016 10:25:01 AM,90
ms_p2:sensormultilevel::batterylevel:, 2/14/2016 10:29:05 AM,91
ms_p2:sensormultilevel::batterylevel:, 2/14/2016 11:01:02 AM,90
ms_p2:sensormultilevel::batterylevel:, 2/14/2016 11:05:02 AM,91
ms_p2:sensormultilevel::batterylevel:, 2/14/2016 11:09:00 AM,90
ms_p2:sensormultilevel::batterylevel:, 2/14/2016 11:21:00 AM,91
ms_p2:sensormultilevel::batterylevel:, 2/14/2016 11:37:00 AM,90
ms_p2:sensormultilevel::batterylevel:, 2/14/2016 11:57:02 AM,91
ms_p2:sensormultilevel::batterylevel:, 2/14/2016 12:01:00 PM,90
ms_p2:sensormultilevel::batterylevel:, 2/14/2016 12:13:00 PM,91
ms_p2:sensormultilevel::batterylevel:, 2/14/2016 12:17:00 PM,90
ms_p2:sensormultilevel::batterylevel:, 2/14/2016 1:05:00 PM,91
ms_p2:sensormultilevel::batterylevel:, 2/14/2016 1:09:00 PM,90
ms_p2:sensormultilevel::batterylevel:, 2/14/2016 1:17:02 PM,91
ms_p2:sensormultilevel::batterylevel:, 2/14/2016 1:29:02 PM,90
ms_p2:sensormultilevel::batterylevel:, 2/14/2016 1:57:03 PM,91
ms_p2:sensormultilevel::batterylevel:, 2/14/2016 2:01:03 PM,90
ms_p2:sensormultilevel::batterylevel:, 2/14/2016 11:01:02 PM,89
ms_p2:sensormultilevel::batterylevel:, 2/14/2016 11:05:02 PM,90
ms_p2:sensormultilevel::batterylevel:, 2/14/2016 11:17:02 PM,89
ms_p2:sensormultilevel::batterylevel:, 2/14/2016 11:21:02 PM,90
ms_p2:sensormultilevel::batterylevel:, 2/14/2016 11:25:02 PM,89
ms_p2:sensormultilevel::batterylevel:, 2/14/2016 11:29:02 PM,90
ms_p2:sensormultilevel::batterylevel:, 2/14/2016 11:37:02 PM,89
ms_p2:sensormultilevel::batterylevel:, 2/14/2016 11:45:02 PM,90
